Exposure,outcome,Outcome,beta,se,p,anovaP,Effect,lowCI,upCI
HC Genotype x Time_120,HMDB0241717,CAR 8:2,-0.215340333085543,0.45913094254852,0.642447972247951,,Interaction,-1.11523698048064,0.684556314309556
HC Genotype x Time_235,HMDB0241717,CAR 8:2,-0.0960306561982853,0.45913094254852,0.835739115436476,,Interaction,-0.995927303593384,0.803865991196814
HC Genotype x Time_(joint),HMDB0241717,CAR 8:2,,,,0.895822818997992,Interaction,,
HC Genotype x Time_120,HMDB0002271,Imidazolepropionic acid,-0.0192992084704989,0.350958862213219,0.956511064697177,,Interaction,-0.707178578408407,0.668580161467409
HC Genotype x Time_235,HMDB0002271,Imidazolepropionic acid,-0.0811729317806519,0.350958862213219,0.81866053682801,,Interaction,-0.76905230171856,0.606706438157256
HC Genotype x Time_(joint),HMDB0002271,Imidazolepropionic acid,,,,0.971249810713708,Interaction,,
HC Genotype x Time_120,HMDB0013238,CAR 7:0,0.145412897595223,0.202995927550914,0.479324717029287,,Interaction,-0.252459120404568,0.543284915595014
HC Genotype x Time_235,HMDB0013238,CAR 7:0,-0.0136653974849794,0.202995927550914,0.946774748965354,,Interaction,-0.41153741548477,0.384206620514811
HC Genotype x Time_(joint),HMDB0013238,CAR 7:0,,,,0.68894545823784,Interaction,,
HC Genotype x Time_120,HMDB0001935,Warfarin,0.000236944088412049,0.0367140257951078,0.994893393849391,,Interaction,-0.0717225464699993,0.0721964346468234
HC Genotype x Time_235,HMDB0001935,Warfarin,-0.0511994193549271,0.0367140257951078,0.17339445567549,,Interaction,-0.123158909913338,0.0207600712034843
HC Genotype x Time_(joint),HMDB0001935,Warfarin,,,,0.286775416922794,Interaction,,
HC Genotype x Time_120,HMDB0013325,CAR 10:2,-0.0284780810551955,0.409266352546822,0.944987132351052,,Interaction,-0.830640132046966,0.773683969936575
HC Genotype x Time_235,HMDB0013325,CAR 10:2,0.202525850541361,0.409266352546822,0.624310195101938,,Interaction,-0.59963620045041,1.00468790153313
HC Genotype x Time_(joint),HMDB0013325,CAR 10:2,,,,0.82840850355975,Interaction,,
HC Genotype x Time_120,HMDB0010405,LPC 24:0,0.0685549056946765,0.356648724143049,0.848865382980212,,Interaction,-0.6304765936257,0.767586405015052
HC Genotype x Time_235,HMDB0010405,LPC 24:0,0.372687276793338,0.356648724143049,0.304384087296072,,Interaction,-0.326344222527039,1.07171877611371
HC Genotype x Time_(joint),HMDB0010405,LPC 24:0,,,,0.54537648832682,Interaction,,
HC Genotype x Time_120,HMDB0000791,CAR 8:0,0.133792030082723,0.180745040202205,0.464917459221147,,Interaction,-0.220468248713599,0.488052308879044
HC Genotype x Time_235,HMDB0000791,CAR 8:0,-0.00949365221477079,0.180745040202205,0.958458494383641,,Interaction,-0.363753931011092,0.344766626581551
HC Genotype x Time_(joint),HMDB0000791,CAR 8:0,,,,0.67842111932269,Interaction,,
HC Genotype x Time_120,HMDB0003464,4-Guanidinobutanoic acid,-0.0697183595375133,0.429534369006865,0.872148902664637,,Interaction,-0.91160572279097,0.772169003715943
HC Genotype x Time_235,HMDB0003464,4-Guanidinobutanoic acid,-0.0862853505887263,0.429534369006866,0.842147262030102,,Interaction,-0.928172713842183,0.75560201266473
HC Genotype x Time_(joint),HMDB0003464,4-Guanidinobutanoic acid,,,,0.977544543704186,Interaction,,
HC Genotype x Time_120,HMDB0000631,Glycodeoxycholic acid,0.713624613646538,0.39291996165104,0.0793440470197955,,Interaction,-0.0564985111895002,1.48374773848258
HC Genotype x Time_235,HMDB0000631,Glycodeoxycholic acid,0.620856995471139,0.39291996165104,0.124568890773975,,Interaction,-0.149266129364899,1.39098012030718
HC Genotype x Time_(joint),HMDB0000631,Glycodeoxycholic acid,,,,0.159838623094898,Interaction,,
HC Genotype x Time_120,HMDB0013205,CAR 10:1,-0.0943740323883358,0.0674288202180779,0.171886329463497,,Interaction,-0.226534520015769,0.0377864552390969
HC Genotype x Time_235,HMDB0013205,CAR 10:1,-0.121176636174884,0.0674288202180779,0.0823935956330979,,Interaction,-0.253337123802317,0.0109838514525486
HC Genotype x Time_(joint),HMDB0013205,CAR 10:1,,,,0.185630446095701,Interaction,,
HC Genotype x Time_120,HMDB0010169,SM 18:1;O2/16:0,0.0330456936785871,0.0640741741485176,0.60981543102564,,Interaction,-0.0925396876525073,0.158631075009682
HC Genotype x Time_235,HMDB0010169,SM 18:1;O2/16:0,-0.0156392756740329,0.0640741741485176,0.808829821144179,,Interaction,-0.141224657005127,0.109946105657062
HC Genotype x Time_(joint),HMDB0010169,SM 18:1;O2/16:0,,,,0.742312381328228,Interaction,,
HC Genotype x Time_120,HMDB0241240,CAR 12:2,-0.0621656089821554,0.0220457401586273,0.008433073523169,,Interaction,-0.105375259693065,-0.0189559582712459
HC Genotype x Time_235,HMDB0241240,CAR 12:2,-0.0437221605105586,0.0220457401586273,0.0565592026775232,,Interaction,-0.086931811221468,-0.000512509799649098
HC Genotype x Time_(joint),HMDB0241240,CAR 12:2,,,,0.0247503032982876,Interaction,,
HC Genotype x Time_120,HMDB0240610,SM 18:1;O2/20:1,0.0829899713119123,0.129050360283863,0.525056183368634,,Interaction,-0.169948734844459,0.335928677468283
HC Genotype x Time_235,HMDB0240610,SM 18:1;O2/20:1,0.0950788825920925,0.129050360283863,0.466992499928956,,Interaction,-0.157859823564279,0.348017588748464
HC Genotype x Time_(joint),HMDB0240610,SM 18:1;O2/20:1,,,,0.727375402358956,Interaction,,
HC Genotype x Time_120,HMDB0241394,CAR 14:3,0.104263250614841,0.138480940960919,0.457373816345444,,Interaction,-0.16715939366856,0.375685894898242
HC Genotype x Time_235,HMDB0241394,CAR 14:3,-0.030633836012394,0.138480940960919,0.826425089162649,,Interaction,-0.302056480295795,0.240788808271007
HC Genotype x Time_(joint),HMDB0241394,CAR 14:3,,,,0.598871385615937,Interaction,,
HC Genotype x Time_120,HMDB0002250,CAR 12:0,0.0110854202549699,0.0228178408396861,0.63062268989986,,Interaction,-0.0336375477908148,0.0558083883007547
HC Genotype x Time_235,HMDB0002250,CAR 12:0,-0.00324686903130002,0.0228178408396861,0.887798205152879,,Interaction,-0.0479698370770848,0.0414760990144847
HC Genotype x Time_(joint),HMDB0002250,CAR 12:0,,,,0.806234456821994,Interaction,,
HC Genotype x Time_120,HMDB0241308,CAR 13:0,0.00457538682966411,0.0195565243459367,0.816607572789858,,Interaction,-0.0337554008883718,0.0429061745477
HC Genotype x Time_235,HMDB0241308,CAR 13:0,0.0191342001057454,0.0195565243459367,0.335698604825399,,Interaction,-0.0191965876122904,0.0574649878237813
HC Genotype x Time_(joint),HMDB0241308,CAR 13:0,,,,0.598581995797055,Interaction,,
HC Genotype x Time_120,HMDB0007874,PC 32:2,-0.378681922660203,0.25070012707132,0.141378801004237,,Interaction,-0.870054171719989,0.112690326399584
HC Genotype x Time_235,HMDB0007874,PC 32:2,-0.270590059900332,0.25070012707132,0.289038948421701,,Interaction,-0.761962308960119,0.220782189159454
HC Genotype x Time_(joint),HMDB0007874,PC 32:2,,,,0.312099177996044,Interaction,,
HC Genotype x Time_120,HMDB0007871,PC 32:0,0.0100207872793835,0.041087966876306,0.808979157324343,,Interaction,-0.0705116277981763,0.0905532023569432
HC Genotype x Time_235,HMDB0007871,PC 32:0,-0.00879356047163854,0.041087966876306,0.83198108805055,,Interaction,-0.0893259755491983,0.0717388546059212
HC Genotype x Time_(joint),HMDB0007871,PC 32:0,,,,0.900665758125839,Interaction,,
HC Genotype x Time_120,HMDB0011212,PC P-34:3,0.0281978143562632,0.0187744401078566,0.143569931977104,,Interaction,-0.00860008825513569,0.064995716967662
HC Genotype x Time_235,HMDB0011212,PC P-34:3,0.0105236516252804,0.0187744401078566,0.579279960386056,,Interaction,-0.0262742509861185,0.0473215542366793
HC Genotype x Time_(joint),HMDB0011212,PC P-34:3,,,,0.329569797891138,Interaction,,
HC Genotype x Time_120,HMDB0011310,PC P-36:3,0.483619341158275,0.483896048692876,0.325580886757353,,Interaction,-0.464816914279762,1.43205559659631
HC Genotype x Time_235,HMDB0011310,PC P-36:3,0.186054753435748,0.483896048692876,0.703325066558599,,Interaction,-0.762381502002289,1.13449100887379
HC Genotype x Time_(joint),HMDB0011310,PC P-36:3,,,,0.60661738286508,Interaction,,
HC Genotype x Time_120,HMDB0006460,CAR 20:0,0.0144514899121308,0.0863558250550704,0.868219076234511,,Interaction,-0.154805927195807,0.183708907020069
HC Genotype x Time_235,HMDB0006460,CAR 20:0,-0.109005239727092,0.0863558250550704,0.216572998300242,,Interaction,-0.27826265683503,0.0602521773808459
HC Genotype x Time_(joint),HMDB0006460,CAR 20:0,,,,0.308966142239925,Interaction,,
HC Genotype x Time_120,HMDB0000277,Sphingosine 1-phosphate,0.0415609464823212,0.101663532319825,0.685583732261614,,Interaction,-0.157699576864536,0.240821469829178
HC Genotype x Time_235,HMDB0000277,Sphingosine 1-phosphate,0.0902278850798662,0.101663532319825,0.381862190788323,,Interaction,-0.109032638266991,0.289488408426723
HC Genotype x Time_(joint),HMDB0000277,Sphingosine 1-phosphate,,,,0.677359566545734,Interaction,,
HC Genotype x Time_120,HMDB0004705,"12,13-DiHOME",0.0542381421577406,0.0642409271963183,0.405188562095844,,Interaction,-0.0716740751470433,0.180150359462524
HC Genotype x Time_235,HMDB0004705,"12,13-DiHOME",0.0168667595187091,0.0642409271963183,0.794688445588999,,Interaction,-0.109045457786075,0.142778976823493
HC Genotype x Time_(joint),HMDB0004705,"12,13-DiHOME",,,,0.691547842398872,Interaction,,
HC Genotype x Time_120,HMDB0011504,LPE 16:1,0.0678859929680793,0.0290346353711515,0.0262404147989068,,Interaction,0.0109781076406223,0.124793878295536
HC Genotype x Time_235,HMDB0011504,LPE 16:1,0.048934674399315,0.0290346353711515,0.102289468779032,,Interaction,-0.00797321092814206,0.105842559726772
HC Genotype x Time_(joint),HMDB0011504,LPE 16:1,,,,0.0699092345346641,Interaction,,
HC Genotype x Time_120,HMDB0011484,LPE 20:3,-0.0168971535272626,0.146489609567648,0.908938618206224,,Interaction,-0.304016788279853,0.270222481225328
HC Genotype x Time_235,HMDB0011484,LPE 20:3,0.0644186035002681,0.146489609567648,0.663270954505422,,Interaction,-0.222701031252323,0.351538238252859
HC Genotype x Time_(joint),HMDB0011484,LPE 20:3,,,,0.843132767959643,Interaction,,
HC Genotype x Time_120,HMDB0004704,"9,10-DiHOME",0.0472121555272222,0.072870710616366,0.521984529572429,,Interaction,-0.095614437280855,0.1900387483353
HC Genotype x Time_235,HMDB0004704,"9,10-DiHOME",-0.0650284709289131,0.072870710616366,0.37929092725051,,Interaction,-0.20785506373699,0.0777981218791642
HC Genotype x Time_(joint),HMDB0004704,"9,10-DiHOME",,,,0.316358898536944,Interaction,,
HC Genotype x Time_120,HMDB0031002,3-Decenoic acid,0.304766044987164,0.395714218549562,0.447223567994107,,Interaction,-0.470833823369978,1.08036591334431
HC Genotype x Time_235,HMDB0031002,3-Decenoic acid,-0.266316975770831,0.395714218549563,0.506096826026827,,Interaction,-1.04191684412797,0.509282892586312
HC Genotype x Time_(joint),HMDB0031002,3-Decenoic acid,,,,0.36484463616187,Interaction,,
HC Genotype x Time_120,HMDB0001925,Ibuprofen,-0.235127734625074,0.290319943173982,0.424380163905597,,Interaction,-0.804154823246078,0.33389935399593
HC Genotype x Time_235,HMDB0001925,Ibuprofen,-0.153934955656321,0.290319943173982,0.59985878586751,,Interaction,-0.722962044277324,0.415092132964683
HC Genotype x Time_(joint),HMDB0001925,Ibuprofen,,,,0.71557822447768,Interaction,,
HC Genotype x Time_120,HMDB0001032,Dehydroepiandrosterone sulfate,-0.00201223334949098,0.0385248040082504,0.958689970743441,,Interaction,-0.0775208492056618,0.0734963825066798
HC Genotype x Time_235,HMDB0001032,Dehydroepiandrosterone sulfate,0.0028886565705211,0.0385248040082504,0.940727021293731,,Interaction,-0.0726199592856497,0.0783972724266919
HC Genotype x Time_(joint),HMDB0001032,Dehydroepiandrosterone sulfate,,,,0.991857615442188,Interaction,,
HC Genotype x Time_120,HMDB0003236,Solanidine,0.0581706153244296,0.18747625161393,0.758491466816027,,Interaction,-0.309282837838873,0.425624068487732
HC Genotype x Time_235,HMDB0003236,Solanidine,0.41673341894168,0.18747625161393,0.0339072063190673,,Interaction,0.049279965778377,0.784186872104982
HC Genotype x Time_(joint),HMDB0003236,Solanidine,,,,0.0706544756053872,Interaction,,
HC Genotype x Time_120,HMDB0000897,7-Methylguanine,-0.00244870689536923,0.0462244492116903,0.958103595496462,,Interaction,-0.0930486273502822,0.0881512135595437
HC Genotype x Time_235,HMDB0000897,7-Methylguanine,0.0109119959145091,0.0462244492116903,0.814986185972186,,Interaction,-0.0796879245404038,0.101511916369422
HC Genotype x Time_(joint),HMDB0000897,7-Methylguanine,,,,0.953816053402957,Interaction,,
HC Genotype x Time_120,HMDB0000248,Thyroxine,-0.0384073099796964,0.070881677501771,0.591923259935668,,Interaction,-0.177335397883168,0.100520777923775
HC Genotype x Time_235,HMDB0000248,Thyroxine,0.0343357240821532,0.070881677501771,0.631613538471072,,Interaction,-0.104592363821318,0.173263811985624
HC Genotype x Time_(joint),HMDB0000248,Thyroxine,,,,0.595649324005255,Interaction,,
HC Genotype x Time_120,HMDB0000518,Chenodeoxycholic acid,-0.538316373788657,0.476397864552801,0.267441806380804,,Interaction,-1.47205618831215,0.395423440734833
HC Genotype x Time_235,HMDB0000518,Chenodeoxycholic acid,-0.336277677366128,0.476397864552801,0.485711246523446,,Interaction,-1.27001749188962,0.597462137157362
HC Genotype x Time_(joint),HMDB0000518,Chenodeoxycholic acid,,,,0.528404097532945,Interaction,,
HC Genotype x Time_120,HMDB0033724,10-Hendecenoic acid,0.140598660191213,0.158727164324746,0.38277705293935,,Interaction,-0.170506581885289,0.451703902267715
HC Genotype x Time_235,HMDB0033724,10-Hendecenoic acid,0.0710017607773298,0.158727164324746,0.657857538170366,,Interaction,-0.240103481299173,0.382107002853832
HC Genotype x Time_(joint),HMDB0033724,10-Hendecenoic acid,,,,0.678900544429646,Interaction,,
HC Genotype x Time_120,HMDB0000672,Hexadecanedioic acid,0.136717014763483,0.0741582373066599,0.0751424004811762,,Interaction,-0.00863313035757002,0.282067159884537
HC Genotype x Time_235,HMDB0000672,Hexadecanedioic acid,0.141915232515675,0.0741582373066599,0.0652448580420245,,Interaction,-0.00343491260537801,0.287265377636729
HC Genotype x Time_(joint),HMDB0000672,Hexadecanedioic acid,,,,0.112172808055654,Interaction,,
HC Genotype x Time_120,HMDB0008952,PE P-34:1,0.208010026818332,0.130959750881764,0.122692071087559,,Interaction,-0.0486710849099252,0.464691138546589
HC Genotype x Time_235,HMDB0008952,PE P-34:1,0.186342045633934,0.130959750881764,0.165082740696081,,Interaction,-0.0703390660943229,0.443023157362192
HC Genotype x Time_(joint),HMDB0008952,PE P-34:1,,,,0.234026232211834,Interaction,,
HC Genotype x Time_120,HMDB0011439,PE P-36:1,-0.0694609639747042,0.0351550774556829,0.057432839859926,,Interaction,-0.138364915787843,-0.000557012161565729
HC Genotype x Time_235,HMDB0011439,PE P-36:1,-0.0201568587176023,0.0351550774556829,0.57066785682478,,Interaction,-0.0890608105307408,0.0487470930955362
HC Genotype x Time_(joint),HMDB0011439,PE P-36:1,,,,0.144272287002538,Interaction,,
HC Genotype x Time_120,HMDB0009102,PE 38:6,0.0186145891268894,0.0292793057824565,0.529753832134177,,Interaction,-0.0387728502067253,0.076002028460504
HC Genotype x Time_235,HMDB0009102,PE 38:6,0.0281492308503319,0.0292793057824565,0.344034774105586,,Interaction,-0.0292382084832828,0.0855366701839466
HC Genotype x Time_(joint),HMDB0009102,PE 38:6,,,,0.62455656540068,Interaction,,
HC Genotype x Time_120,HMDB0005779,PE P-38:4,-0.0454196764396029,0.0186158173263006,0.0208182714160499,,Interaction,-0.0819066783991522,-0.00893267448005367
HC Genotype x Time_235,HMDB0005779,PE P-38:4,-0.0379007499083119,0.0186158173263006,0.0506697593248845,,Interaction,-0.0743877518678611,-0.00141374794876263
HC Genotype x Time_(joint),HMDB0005779,PE P-38:4,,,,0.0459094834122553,Interaction,,
HC Genotype x Time_120,HMDB0000626,Deoxycholic acid,0.00520845140986502,0.173589753676124,0.976262290553172,,Interaction,-0.335027465795339,0.345444368615069
HC Genotype x Time_235,HMDB0000626,Deoxycholic acid,-0.0787782368873599,0.173589753676124,0.653225586630021,,Interaction,-0.419014154092564,0.261457680317844
HC Genotype x Time_(joint),HMDB0000626,Deoxycholic acid,,,,0.863930244010117,Interaction,,
HC Genotype x Time_120,HMDB0000511,Capric acid,0.240401003548744,0.138346634646075,0.0925259655826013,,Interaction,-0.0307584003575634,0.511560407455052
HC Genotype x Time_235,HMDB0000511,Capric acid,0.116223224316634,0.138346634646075,0.407505113279693,,Interaction,-0.154936179589674,0.387382628222942
HC Genotype x Time_(joint),HMDB0000511,Capric acid,,,,0.237161170974762,Interaction,,
HC Genotype x Time_120,HMDB0005862,2-Methylguanosine,-0.0438369447973899,0.04200632348718,0.305016706731524,,Interaction,-0.126169338832263,0.0384954492374829
HC Genotype x Time_235,HMDB0005862,2-Methylguanosine,0.012680817270383,0.04200632348718,0.764827359972752,,Interaction,-0.0696515767644898,0.0950132113052558
HC Genotype x Time_(joint),HMDB0005862,2-Methylguanosine,,,,0.380947990004335,Interaction,,
HC Genotype x Time_120,HMDB0003178,Heme,0.154678069505691,0.1396872641644,0.276956731878939,,Interaction,-0.119108968256534,0.428465107267915
HC Genotype x Time_235,HMDB0003178,Heme,0.174605251555882,0.1396872641644,0.220972896999808,,Interaction,-0.0991817862063428,0.448392289318107
HC Genotype x Time_(joint),HMDB0003178,Heme,,,,0.403229184623425,Interaction,,
HC Genotype x Time_120,HMDB0000698,Glycolithocholic acid,0.620577224753657,0.742835873010184,0.410087634508619,,Interaction,-0.835381086346304,2.07653553585362
HC Genotype x Time_235,HMDB0000698,Glycolithocholic acid,0.535095582811801,0.742835873010184,0.476890278958999,,Interaction,-0.92086272828816,1.99105389391176
HC Genotype x Time_(joint),HMDB0000698,Glycolithocholic acid,,,,0.667300730777781,Interaction,,
HC Genotype x Time_120,HMDB0000802,Pterin,-0.122388101698097,0.169123534877828,0.474879275182467,,Interaction,-0.45387023005864,0.209094026662446
HC Genotype x Time_235,HMDB0000802,Pterin,-0.025096334669496,0.169123534877828,0.883027506898017,,Interaction,-0.356578463030039,0.306385793691047
HC Genotype x Time_(joint),HMDB0000802,Pterin,,,,0.748709806837182,Interaction,,
HC Genotype x Time_120,HMDB0006294,Juniperic acid,0.128608763718668,0.0774861571500509,0.103915955759036,,Interaction,-0.0232641042954321,0.280481631732767
HC Genotype x Time_235,HMDB0006294,Juniperic acid,0.0623069895740274,0.0774861571500509,0.425564119213511,,Interaction,-0.0895658784400724,0.214179857588127
HC Genotype x Time_(joint),HMDB0006294,Juniperic acid,,,,0.262550859424108,Interaction,,
HC Genotype x Time_120,HMDB0000529,5-Dodecenoic acid,0.373710456279485,0.316912266289335,0.24757691850092,,Interaction,-0.24743758564761,0.994858498206581
HC Genotype x Time_235,HMDB0000529,5-Dodecenoic acid,-0.0703439362800578,0.316912266289335,0.825844010030977,,Interaction,-0.691491978207153,0.550804105647038
HC Genotype x Time_(joint),HMDB0000529,5-Dodecenoic acid,,,,0.335027429138926,Interaction,,
HC Genotype x Time_120,HMDB0004667,13-HODE,0.00534109238350454,0.211917379697069,0.980059427846541,,Interaction,-0.410016971822751,0.42069915658976
HC Genotype x Time_235,HMDB0004667,13-HODE,-0.0695601862745406,0.211917379697069,0.745008786167367,,Interaction,-0.484918250480796,0.345797877931715
HC Genotype x Time_(joint),HMDB0004667,13-HODE,,,,0.925365583182059,Interaction,,
HC Genotype x Time_120,HMDB0000017,4-Pyridoxic acid,-0.024024678493714,0.0862902372673837,0.782602269859148,,Interaction,-0.193153543537786,0.145104186550358
HC Genotype x Time_235,HMDB0000017,4-Pyridoxic acid,-0.0599651574109986,0.0862902372673837,0.492450591708178,,Interaction,-0.229094022455071,0.109163707633073
HC Genotype x Time_(joint),HMDB0000017,4-Pyridoxic acid,,,,0.784534818011373,Interaction,,
HC Genotype x Time_120,HMDB0005923,N4-Acetylcytidine,0.0229834465664519,0.0244630969065409,0.354969947444403,,Interaction,-0.0249642233703684,0.0709311165032721
HC Genotype x Time_235,HMDB0005923,N4-Acetylcytidine,-0.013584080979152,0.0244630969065409,0.582814583526736,,Interaction,-0.0615317509159722,0.0343635889576683
HC Genotype x Time_(joint),HMDB0005923,N4-Acetylcytidine,,,,0.332720656423409,Interaction,,
HC Genotype x Time_120,HMDB0000896,Taurodeoxycholic acid,0.883871409887611,0.450141655925168,0.0589108862807674,,Interaction,0.00159376427428115,1.76614905550094
HC Genotype x Time_235,HMDB0000896,Taurodeoxycholic acid,0.759700475657016,0.450141655925168,0.101842047523772,,Interaction,-0.122577169956313,1.64197812127035
HC Genotype x Time_(joint),HMDB0000896,Taurodeoxycholic acid,,,,0.121834716768414,Interaction,,
HC Genotype x Time_120,HMDB0000717,Isolithocholic acid,0.21762940717952,0.22740355707932,0.346207186840671,,Interaction,-0.228081564695947,0.663340379054986
HC Genotype x Time_235,HMDB0000717,Isolithocholic acid,0.235091678080253,0.22740355707932,0.309488105988736,,Interaction,-0.210619293795214,0.680802649955719
HC Genotype x Time_(joint),HMDB0000717,Isolithocholic acid,,,,0.522433584527132,Interaction,,
HC Genotype x Time_120,HMDB0002392,Maslinic acid,-0.313997335942076,0.223101026174997,0.169579529544785,,Interaction,-0.751275347245071,0.123280675360919
HC Genotype x Time_235,HMDB0002392,Maslinic acid,-0.296011362141015,0.223101026174997,0.194584708548803,,Interaction,-0.73328937344401,0.14126664916198
HC Genotype x Time_(joint),HMDB0002392,Maslinic acid,,,,0.301210185202786,Interaction,,
HC Genotype x Time_120,HMDB0001406,Niacinamide,-0.100665277674471,0.0765778568733198,0.198623555167675,,Interaction,-0.250757877146178,0.0494273217972358
HC Genotype x Time_235,HMDB0001406,Niacinamide,-0.0461645564265029,0.0765778568733198,0.55114243938687,,Interaction,-0.19625715589821,0.103928043045204
HC Genotype x Time_(joint),HMDB0001406,Niacinamide,,,,0.430883477294177,Interaction,,
HC Genotype x Time_120,HMDB0002261,2-Hydroxymyristic acid,0.0688231635540681,0.0922278306906669,0.461336555506823,,Interaction,-0.111943384599639,0.249589711707775
HC Genotype x Time_235,HMDB0002261,2-Hydroxymyristic acid,0.0386923983447907,0.0922278306906669,0.677817551718651,,Interaction,-0.142074149808916,0.219458946498498
HC Genotype x Time_(joint),HMDB0002261,2-Hydroxymyristic acid,,,,0.757836970009009,Interaction,,
HC Genotype x Time_120,HMDB0000638,Lauric acid,0.20742544929252,0.22329993083609,0.36035029327939,,Interaction,-0.230242415146216,0.645093313731256
HC Genotype x Time_235,HMDB0000638,Lauric acid,-0.0474207013186749,0.22329993083609,0.833259983216595,,Interaction,-0.485088565757411,0.390247163120061
HC Genotype x Time_(joint),HMDB0000638,Lauric acid,,,,0.487093310393484,Interaction,,
HC Genotype x Time_120,HMDB0003681,4-Acetamidobutanoic acid,0.231596045070701,0.316786487393693,0.470402687349616,,Interaction,-0.389305470220938,0.85249756036234
HC Genotype x Time_235,HMDB0003681,4-Acetamidobutanoic acid,-0.242942689335978,0.316786487393693,0.449136040603606,,Interaction,-0.863844204627617,0.377958825955661
HC Genotype x Time_(joint),HMDB0003681,4-Acetamidobutanoic acid,,,,0.338853606157452,Interaction,,
HC Genotype x Time_120,HMDB0000761,Lithocholic acid,1.01263175438336,0.391879076994044,0.0148780918307451,,Interaction,0.244548763475031,1.78071474529168
HC Genotype x Time_235,HMDB0000761,Lithocholic acid,0.294910555311782,0.391879076994044,0.457582146322078,,Interaction,-0.473172435596544,1.06299354622011
HC Genotype x Time_(joint),HMDB0000761,Lithocholic acid,,,,0.0419088621964922,Interaction,,
HC Genotype x Time_120,HMDB0001886,3-Methylxanthine,0.0554363117923862,0.0701524795184621,0.435598125243897,,Interaction,-0.0820625480637995,0.192935171648572
HC Genotype x Time_235,HMDB0001886,3-Methylxanthine,0.0830083661105193,0.0701524795184621,0.245999734479316,,Interaction,-0.0544904937456664,0.220507225966705
HC Genotype x Time_(joint),HMDB0001886,3-Methylxanthine,,,,0.491986528259241,Interaction,,
HC Genotype x Time_120,HMDB0002000,Myristoleic acid,0.572511460897743,0.389675024577699,0.152187289654079,,Interaction,-0.191251587274548,1.33627450907003
HC Genotype x Time_235,HMDB0002000,Myristoleic acid,-0.107739008997564,0.389675024577699,0.784072109506592,,Interaction,-0.871502057169855,0.656024039174727
HC Genotype x Time_(joint),HMDB0002000,Myristoleic acid,,,,0.18921041307414,Interaction,,
HC Genotype x Time_120,HMDB0000210,Pantothenic acid,0.126369799664697,0.195068698838108,0.522027464091053,,Interaction,-0.255964850057994,0.508704449387388
HC Genotype x Time_235,HMDB0000210,Pantothenic acid,0.234298713295396,0.195068698838108,0.239106459137957,,Interaction,-0.148035936427295,0.616633363018086
HC Genotype x Time_(joint),HMDB0000210,Pantothenic acid,,,,0.493641903229931,Interaction,,
HC Genotype x Time_120,HMDB0002369,9-cis-Retinoic acid,-0.0408616168625784,0.052198762319132,0.439875749091374,,Interaction,-0.143171191008077,0.0614479572829203
HC Genotype x Time_235,HMDB0002369,9-cis-Retinoic acid,0.00528373108244155,0.052198762319132,0.920046704961444,,Interaction,-0.0970258430630572,0.10759330522794
HC Genotype x Time_(joint),HMDB0002369,9-cis-Retinoic acid,,,,0.630637411926791,Interaction,,
HC Genotype x Time_120,HMDB0304761,11-Methyllauric acid,0.083380351841108,0.088319448365486,0.352672063746463,,Interaction,-0.0897257669552446,0.256486470637461
HC Genotype x Time_235,HMDB0304761,11-Methyllauric acid,0.0308930843243183,0.088319448365486,0.728941549739422,,Interaction,-0.142213034472034,0.203999203120671
HC Genotype x Time_(joint),HMDB0304761,11-Methyllauric acid,,,,0.638379800190857,Interaction,,
HC Genotype x Time_120,HMDB0001847,Caffeine,-0.0477261199622649,0.0817924187993952,0.56391626682082,,Interaction,-0.20803926080908,0.11258702088455
HC Genotype x Time_235,HMDB0001847,Caffeine,-0.0169576593868783,0.0817924187993953,0.837156527309649,,Interaction,-0.177270800233693,0.143355481459936
HC Genotype x Time_(joint),HMDB0001847,Caffeine,,,,0.840316355903846,Interaction,,
HC Genotype x Time_120,HMDB0013713,N-Acetyl-D-tryptophan,-0.139958609327462,0.170551437622502,0.418333671923953,,Interaction,-0.474239427067566,0.194322208412642
HC Genotype x Time_235,HMDB0013713,N-Acetyl-D-tryptophan,-0.412226738562459,0.170551437622502,0.0219366873264256,,Interaction,-0.746507556302563,-0.0779459208223546
HC Genotype x Time_(joint),HMDB0013713,N-Acetyl-D-tryptophan,,,,0.0637639988405331,Interaction,,
HC Genotype x Time_120,HMDB0000884,Ribothymidine,-0.0801555102357588,0.062111731878252,0.206733268890567,,Interaction,-0.201894504717133,0.0415834842456152
HC Genotype x Time_235,HMDB0000884,Ribothymidine,0.0728919239076775,0.0621117318782521,0.249804052016061,,Interaction,-0.0488470705736965,0.194630918389052
HC Genotype x Time_(joint),HMDB0000884,Ribothymidine,,,,0.0628796728075431,Interaction,,
HC Genotype x Time_120,HMDB0000910,Tridecylic acid,0.127910053929331,0.0930181722236006,0.179281098413041,,Interaction,-0.0544055636289265,0.310225671487588
HC Genotype x Time_235,HMDB0000910,Tridecylic acid,0.0143132223456961,0.0930181722236006,0.878738327539061,,Interaction,-0.168002395212561,0.196628839903953
HC Genotype x Time_(joint),HMDB0000910,Tridecylic acid,,,,0.334732954626406,Interaction,,
HC Genotype x Time_120,HMDB0242141,Eicosanedioic acid,0.0947773325977832,0.0750136805416277,0.216152104671544,,Interaction,-0.052249481263807,0.241804146459373
