Exposure,beta,se,p,anovaF,anovaP,Effect,lowCI,upCI,Outcome,Beta.SE,P,P_signif,anovaP_signif,outcome,model
Genotype_HC Genotype_ x time235,-0.629615556880045,0.37913768251483,0.10720136129873,,,Interaction,-1.37272541460911,0.113494300849022,HMDB0043782,"-0.6 (-1.4, 0.1)",0.107,0.107,,TG 57:7,bmi
Genotype_(joint),,,,0.0813775749945264,0.781895264388497,Main,,,HMDB0043782,"NA (NA, NA)",,,0.782,TG 57:7,bmi
Genotype_ x time(joint),,,,1.93789399029288,0.161613534966165,Interaction,,,HMDB0043782,"NA (NA, NA)",,,0.162,TG 57:7,bmi
Genotype_HC Genotype_,0.111873289275101,1.1072726318121,0.921369893117045,,,Main,-2.05838106907662,2.28212764762683,HMDB0043782,"0.1 (-2.1, 2.3)",0.921,0.921,,TG 57:7,primary
Genotype_HC Genotype_ x time120,-0.661986632413218,0.379137682668858,0.0910398840127311,,,Interaction,-1.40509649044418,0.0811232256177433,HMDB0043782,"-0.7 (-1.4, 0.1)",0.091,0.091,,TG 57:7,primary
Genotype_HC Genotype_ x time235,-0.629615556880032,0.379137682668858,0.107201361437676,,,Interaction,-1.37272541491099,0.113494301150928,HMDB0043782,"-0.6 (-1.4, 0.1)",0.107,0.107,,TG 57:7,primary
Genotype_(joint),,,,0.0861908365594548,0.775079436968937,Main,,,HMDB0043782,"NA (NA, NA)",,,0.775,TG 57:7,primary
Genotype_ x time(joint),,,,1.93789398871823,0.161613535195878,Interaction,,,HMDB0043782,"NA (NA, NA)",,,0.162,TG 57:7,primary
Genotype_HC Genotype_,-0.502897409626488,1.13709786046323,0.668040002711055,,,Main,-2.73160921613442,1.72581439688145,HMDB0054025,"-0.5 (-2.7, 1.7)",0.668,0.668,,TG 57:8,bmi
Genotype_HC Genotype_ x time120,0.206826200285566,0.366945830834943,0.577186933680478,,,Interaction,-0.512387628150922,0.926040028722054,HMDB0054025,"0.2 (-0.5, 0.9)",0.577,0.577,,TG 57:8,bmi
Genotype_HC Genotype_ x time235,-0.00372385157889384,0.366945830834943,0.991970207686075,,,Interaction,-0.722937680015382,0.715489976857594,HMDB0054025,"0 (-0.7, 0.7)",0.992,0.992,,TG 57:8,bmi
Genotype_(joint),,,,0.151746515120015,0.705929334860376,Main,,,HMDB0054025,"NA (NA, NA)",,,0.706,TG 57:8,bmi
Genotype_ x time(joint),,,,0.215677085007048,0.807234366322122,Interaction,,,HMDB0054025,"NA (NA, NA)",,,0.807,TG 57:8,bmi
Genotype_HC Genotype_,-0.518192755173187,1.15710327613708,0.663201526533987,,,Main,-2.78611517640186,1.74972966605549,HMDB0054025,"-0.5 (-2.8, 1.7)",0.663,0.663,,TG 57:8,primary
Genotype_HC Genotype_ x time120,0.206826200285611,0.366945821668872,0.577186924108516,,,Interaction,-0.512387610185378,0.926040010756599,HMDB0054025,"0.2 (-0.5, 0.9)",0.577,0.577,,TG 57:8,primary
Genotype_HC Genotype_ x time235,-0.0037238515788498,0.366945821668872,0.991970207483837,,,Interaction,-0.722937662049839,0.715489958892139,HMDB0054025,"0 (-0.7, 0.7)",0.992,0.992,,TG 57:8,primary
Genotype_(joint),,,,0.156833270991954,0.700406926370407,Main,,,HMDB0054025,"NA (NA, NA)",,,0.7,TG 57:8,primary
Genotype_ x time(joint),,,,0.215677095782044,0.807234357715105,Interaction,,,HMDB0054025,"NA (NA, NA)",,,0.807,TG 57:8,primary
Genotype_HC Genotype_,-0.0270892126613575,0.965041933043631,0.97820330786649,,,Main,-1.91857140142687,1.86439297610416,HMDB0054031,"0 (-1.9, 1.9)",0.978,0.978,,TG 57:9,bmi
Genotype_HC Genotype_ x time120,-0.141267517908219,0.18858964600668,0.459646393828622,,,Interaction,-0.510903224081312,0.228368188264873,HMDB0054031,"-0.1 (-0.5, 0.2)",0.46,0.46,,TG 57:9,bmi
Genotype_HC Genotype_ x time235,-0.230224600632437,0.18858964600668,0.231681483673563,,,Interaction,-0.59986030680553,0.139411105540656,HMDB0054031,"-0.2 (-0.6, 0.1)",0.232,0.232,,TG 57:9,bmi
Genotype_(joint),,,,0.0247722048753643,0.878410489929848,Main,,,HMDB0054031,"NA (NA, NA)",,,0.878,TG 57:9,bmi
Genotype_ x time(joint),,,,0.757962818498777,0.477383951157095,Interaction,,,HMDB0054031,"NA (NA, NA)",,,0.477,TG 57:9,bmi
Genotype_HC Genotype_,-0.0401010458896102,0.981274534419187,0.968187559270166,,,Main,-1.96339913335122,1.883197041572,HMDB0054031,"0 (-2, 1.9)",0.968,0.968,,TG 57:9,primary
Genotype_HC Genotype_ x time120,-0.14126751790822,0.188589640831042,0.459646381460596,,,Interaction,-0.510903213937063,0.228368178120622,HMDB0054031,"-0.1 (-0.5, 0.2)",0.46,0.46,,TG 57:9,primary
Genotype_HC Genotype_ x time235,-0.230224600632433,0.188589640831042,0.231681470904948,,,Interaction,-0.599860296661275,0.13941109539641,HMDB0054031,"-0.2 (-0.6, 0.1)",0.232,0.232,,TG 57:9,primary
Genotype_(joint),,,,0.0282569524389064,0.869857257243122,Main,,,HMDB0054031,"NA (NA, NA)",,,0.87,TG 57:9,primary
Genotype_ x time(joint),,,,0.757962860101685,0.477383932011358,Interaction,,,HMDB0054031,"NA (NA, NA)",,,0.477,TG 57:9,primary
Genotype_HC Genotype_,-0.384487020056618,0.463182892483408,0.424339809979874,,,Main,-1.2923254893241,0.523351449210862,HMDB0043925,"-0.4 (-1.3, 0.5)",0.424,0.424,,TG 58:1,bmi
Genotype_HC Genotype_ x time120,0.182731332799389,0.242605762132058,0.457198660419306,,,Interaction,-0.292775960979444,0.658238626578222,HMDB0043925,"0.2 (-0.3, 0.7)",0.457,0.457,,TG 58:1,bmi
Genotype_HC Genotype_ x time235,0.295431923637812,0.242605762132058,0.232812610891041,,,Interaction,-0.180075370141021,0.770939217416646,HMDB0043925,"0.3 (-0.2, 0.8)",0.233,0.233,,TG 58:1,bmi
Genotype_(joint),,,,0.259952256472252,0.622420042741238,Main,,,HMDB0043925,"NA (NA, NA)",,,0.622,TG 58:1,bmi
Genotype_ x time(joint),,,,0.755338788191866,0.478577957312677,Interaction,,,HMDB0043925,"NA (NA, NA)",,,0.479,TG 58:1,bmi
Genotype_HC Genotype_,-0.379175237454637,0.46435867150864,0.430014277206765,,,Main,-1.28931823361157,0.530967758702297,HMDB0043925,"-0.4 (-1.3, 0.5)",0.43,0.43,,TG 58:1,primary
Genotype_HC Genotype_ x time120,0.182731332799369,0.242605761789667,0.457198659780986,,,Interaction,-0.292775960308377,0.658238625907116,HMDB0043925,"0.2 (-0.3, 0.7)",0.457,0.457,,TG 58:1,primary
Genotype_HC Genotype_ x time235,0.295431923637798,0.242605761789667,0.232812610232384,,,Interaction,-0.180075369469948,0.770939216745545,HMDB0043925,"0.3 (-0.2, 0.8)",0.233,0.233,,TG 58:1,primary
Genotype_(joint),,,,0.246449657233616,0.630316609403561,Main,,,HMDB0043925,"NA (NA, NA)",,,0.63,TG 58:1,primary
Genotype_ x time(joint),,,,0.755338790323815,0.47857795632779,Interaction,,,HMDB0043925,"NA (NA, NA)",,,0.479,TG 58:1,primary
Genotype_HC Genotype_,0.131199258248389,0.409794191870328,0.756015154322858,,,Main,-0.671997357817453,0.934395874314231,HMDB0005476,"0.1 (-0.7, 0.9)",0.756,0.756,,TG 58:10,bmi
Genotype_HC Genotype_ x time120,-0.0244618651534165,0.0704930489286776,0.731005570237314,,,Interaction,-0.162628241053625,0.113704510746792,HMDB0005476,"0 (-0.2, 0.1)",0.731,0.731,,TG 58:10,bmi
Genotype_HC Genotype_ x time235,-0.0519510140819737,0.0704930489286775,0.466867564853023,,,Interaction,-0.190117389982182,0.0862153618182343,HMDB0005476,"-0.1 (-0.2, 0.1)",0.467,0.467,,TG 58:10,bmi
Genotype_(joint),,,,0.0672288876785443,0.801248394838269,Main,,,HMDB0005476,"NA (NA, NA)",,,0.801,TG 58:10,bmi
Genotype_ x time(joint),,,,0.271867166455692,0.763812597202669,Interaction,,,HMDB0005476,"NA (NA, NA)",,,0.764,TG 58:10,bmi
Genotype_HC Genotype_,0.126061153418259,0.412994340798164,0.766325556662122,,,Main,-0.683407754546144,0.935530061382661,HMDB0005476,"0.1 (-0.7, 0.9)",0.766,0.766,,TG 58:10,primary
Genotype_HC Genotype_ x time120,-0.0244618651534029,0.0704930489463976,0.731005570302453,,,Interaction,-0.162628241088342,0.113704510781537,HMDB0005476,"0 (-0.2, 0.1)",0.731,0.731,,TG 58:10,primary
Genotype_HC Genotype_ x time235,-0.0519510140819599,0.0704930489463976,0.466867564964385,,,Interaction,-0.190117390016899,0.0862153618529794,HMDB0005476,"-0.1 (-0.2, 0.1)",0.467,0.467,,TG 58:10,primary
Genotype_(joint),,,,0.0599047613696729,0.81159564026118,Main,,,HMDB0005476,"NA (NA, NA)",,,0.812,TG 58:10,primary
Genotype_ x time(joint),,,,0.27186716631887,0.763812597305451,Interaction,,,HMDB0005476,"NA (NA, NA)",,,0.764,TG 58:10,primary
Genotype_HC Genotype_,0.321337518048853,0.520717241950981,0.552300229987169,,,Main,-0.699268276175069,1.34194331227278,HMDB0010531,"0.3 (-0.7, 1.3)",0.552,0.552,,TG 58:11,bmi
Genotype_HC Genotype_ x time120,-0.0319296231236044,0.0649929686897854,0.626804821308027,,,Interaction,-0.159315841755584,0.095456595508375,HMDB0010531,"0 (-0.2, 0.1)",0.627,0.627,,TG 58:11,bmi
Genotype_HC Genotype_ x time235,-0.13936532598416,0.0649929686897854,0.0402295748226467,,,Interaction,-0.266751544616139,-0.0119791073521805,HMDB0010531,"-0.1 (-0.3, 0)",0.04,0.04*,,TG 58:11,bmi
Genotype_(joint),,,,0.258852110846608,0.623147207300983,Main,,,HMDB0010531,"NA (NA, NA)",,,0.623,TG 58:11,bmi
Genotype_ x time(joint),,,,2.52398785810671,0.0970230073222708,Interaction,,,HMDB0010531,"NA (NA, NA)",,,0.097,TG 58:11,bmi
Genotype_HC Genotype_,0.317237215692414,0.506377512774547,0.544882123821487,,,Main,-0.675262709345698,1.30973714073053,HMDB0010531,"0.3 (-0.7, 1.3)",0.545,0.545,,TG 58:11,primary
Genotype_HC Genotype_ x time120,-0.0319296231235993,0.0649929678619091,0.626804816882047,,,Interaction,-0.159315840132941,0.0954565938857425,HMDB0010531,"0 (-0.2, 0.1)",0.627,0.627,,TG 58:11,primary
Genotype_HC Genotype_ x time235,-0.139365325984145,0.0649929678619091,0.0402295723281395,,,Interaction,-0.266751542993487,-0.0119791089748029,HMDB0010531,"-0.1 (-0.3, 0)",0.04,0.04*,,TG 58:11,primary
Genotype_(joint),,,,0.265370802307136,0.617648669086634,Main,,,HMDB0010531,"NA (NA, NA)",,,0.618,TG 58:11,primary
Genotype_ x time(joint),,,,2.52398792240698,0.0970230017342576,Interaction,,,HMDB0010531,"NA (NA, NA)",,,0.097,TG 58:11,primary
Genotype_HC Genotype_,0.636390797666618,1.06817488047679,0.565868565277813,,,Main,-1.45723196806789,2.73001356340113,HMDB0010514,"0.6 (-1.5, 2.7)",0.566,0.566,,TG 58:12,bmi
Genotype_HC Genotype_ x time120,-0.00979067273409478,0.127902600280953,0.939491455640005,,,Interaction,-0.260479769284763,0.240898423816573,HMDB0010514,"0 (-0.3, 0.2)",0.939,0.939,,TG 58:12,bmi
Genotype_HC Genotype_ x time235,-0.0769212385606983,0.127902600280953,0.552088224303722,,,Interaction,-0.327610335111366,0.173767857989969,HMDB0010514,"-0.1 (-0.3, 0.2)",0.552,0.552,,TG 58:12,bmi
Genotype_(joint),,,,0.324989670111567,0.582573465997307,Main,,,HMDB0010514,"NA (NA, NA)",,,0.583,TG 58:12,bmi
Genotype_ x time(joint),,,,0.214340704481475,0.808298594779243,Interaction,,,HMDB0010514,"NA (NA, NA)",,,0.808,TG 58:12,bmi
Genotype_HC Genotype_,0.629097613073855,1.03254497010336,0.555798748872193,,,Main,-1.39469052832873,2.65288575447644,HMDB0010514,"0.6 (-1.4, 2.7)",0.556,0.556,,TG 58:12,primary
Genotype_HC Genotype_ x time120,-0.00979067273409638,0.127902622433711,0.939491466187524,,,Interaction,-0.26047981270417,0.240898467235977,HMDB0010514,"0 (-0.3, 0.2)",0.939,0.939,,TG 58:12,primary
Genotype_HC Genotype_ x time235,-0.0769212385606976,0.127902622433711,0.552088293538492,,,Interaction,-0.327610378530771,0.173767901409376,HMDB0010514,"-0.1 (-0.3, 0.2)",0.552,0.552,,TG 58:12,primary
Genotype_(joint),,,,0.339618874903369,0.572954980766511,Main,,,HMDB0010514,"NA (NA, NA)",,,0.573,TG 58:12,primary
Genotype_ x time(joint),,,,0.214340630233774,0.808298654160692,Interaction,,,HMDB0010514,"NA (NA, NA)",,,0.808,TG 58:12,primary
Genotype_HC Genotype_,-0.132879049922019,0.394940189471647,0.743199447060006,,,Main,-0.906961821286447,0.641203721442408,HMDB0044121,"-0.1 (-0.9, 0.6)",0.743,0.743,,TG 58:2,bmi
Genotype_HC Genotype_ x time120,0.044421854197005,0.183532362899037,0.81039746851792,,,Interaction,-0.315301577085108,0.404145285479118,HMDB0044121,"0 (-0.3, 0.4)",0.81,0.81,,TG 58:2,bmi
Genotype_HC Genotype_ x time235,0.15033516461717,0.183532362899037,0.419177399237642,,,Interaction,-0.209388266664943,0.510058595899283,HMDB0044121,"0.2 (-0.2, 0.5)",0.419,0.419,,TG 58:2,bmi
Genotype_(joint),,,,0.0319072722073609,0.862187612269149,Main,,,HMDB0044121,"NA (NA, NA)",,,0.862,TG 58:2,bmi
Genotype_ x time(joint),,,,0.354188496227404,0.704637686096,Interaction,,,HMDB0044121,"NA (NA, NA)",,,0.705,TG 58:2,bmi
Genotype_HC Genotype_,-0.129504076731479,0.387044990054573,0.743870635409904,,,Main,-0.888112257238443,0.629104103775485,HMDB0044121,"-0.1 (-0.9, 0.6)",0.744,0.744,,TG 58:2,primary
Genotype_HC Genotype_ x time120,0.0444218541969939,0.183532362906816,0.810397468525697,,,Interaction,-0.315301577100365,0.404145285494353,HMDB0044121,"0 (-0.3, 0.4)",0.81,0.81,,TG 58:2,primary
Genotype_HC Genotype_ x time235,0.150335164617156,0.183532362906816,0.419177399256696,,,Interaction,-0.209388266680203,0.510058595914515,HMDB0044121,"0.2 (-0.2, 0.5)",0.419,0.419,,TG 58:2,primary
Genotype_(joint),,,,0.0301007298482256,0.865723538046268,Main,,,HMDB0044121,"NA (NA, NA)",,,0.866,TG 58:2,primary
Genotype_ x time(joint),,,,0.354188496197325,0.704637686116486,Interaction,,,HMDB0044121,"NA (NA, NA)",,,0.705,TG 58:2,primary
Genotype_HC Genotype_,-0.230477424773037,0.318995122080703,0.486068194121398,,,Main,-0.855707864051214,0.39475301450514,HMDB0044261,"-0.2 (-0.9, 0.4)",0.486,0.486,,TG 58:3,bmi
Genotype_HC Genotype_ x time120,0.0199538935205417,0.141655916398829,0.888920791625289,,,Interaction,-0.257691702621163,0.297599489662246,HMDB0044261,"0 (-0.3, 0.3)",0.889,0.889,,TG 58:3,bmi
Genotype_HC Genotype_ x time235,0.15081000526384,0.141655916398829,0.295541205786586,,,Interaction,-0.126835590877864,0.428455601405545,HMDB0044261,"0.2 (-0.1, 0.4)",0.296,0.296,,TG 58:3,bmi
Genotype_(joint),,,,0.316840427125045,0.587258598581377,Main,,,HMDB0044261,"NA (NA, NA)",,,0.587,TG 58:3,bmi
Genotype_ x time(joint),,,,0.668865038774563,0.519763511820692,Interaction,,,HMDB0044261,"NA (NA, NA)",,,0.52,TG 58:3,bmi
Genotype_HC Genotype_,-0.227494140313272,0.314228062744902,0.483564957637142,,,Main,-0.84338114329328,0.388392862666737,HMDB0044261,"-0.2 (-0.8, 0.4)",0.484,0.484,,TG 58:3,primary
Genotype_HC Genotype_ x time120,0.0199538935205424,0.141655913877625,0.888920789643477,,,Interaction,-0.257691697679603,0.297599484720688,HMDB0044261,"0 (-0.3, 0.3)",0.889,0.889,,TG 58:3,primary
Genotype_HC Genotype_ x time235,0.150810005263845,0.141655913877625,0.295541197183546,,,Interaction,-0.126835585936301,0.428455596463991,HMDB0044261,"0.2 (-0.1, 0.4)",0.296,0.296,,TG 58:3,primary
Genotype_(joint),,,,0.316077625711203,0.586354807398826,Main,,,HMDB0044261,"NA (NA, NA)",,,0.586,TG 58:3,primary
Genotype_ x time(joint),,,,0.668865062583628,0.519763499831083,Interaction,,,HMDB0044261,"NA (NA, NA)",,,0.52,TG 58:3,primary
Genotype_HC Genotype_,-0.20236881702201,0.267963906758726,0.467410500174171,,,Main,-0.727578074269112,0.322840440225093,HMDB0048749,"-0.2 (-0.7, 0.3)",0.467,0.467,,TG 58:4,bmi
Genotype_HC Genotype_ x time120,-0.046891193172063,0.109200071359506,0.670695946338824,,,Interaction,-0.260923333036695,0.167140946692569,HMDB0048749,"0 (-0.3, 0.2)",0.671,0.671,,TG 58:4,bmi
Genotype_HC Genotype_ x time235,0.0901465349141278,0.109200071359506,0.415594676075901,,,Interaction,-0.123885604950505,0.30417867477876,HMDB0048749,"0.1 (-0.1, 0.3)",0.416,0.416,,TG 58:4,bmi
Genotype_(joint),,,,0.520794069808801,0.488826507962667,Main,,,HMDB0048749,"NA (NA, NA)",,,0.489,TG 58:4,bmi
Genotype_ x time(joint),,,,0.813567052059523,0.452815432230635,Interaction,,,HMDB0048749,"NA (NA, NA)",,,0.453,TG 58:4,bmi
Genotype_HC Genotype_,-0.198764382061462,0.272950222108211,0.481504242826169,,,Main,-0.733746817393556,0.336218053270631,HMDB0048749,"-0.2 (-0.7, 0.3)",0.482,0.482,,TG 58:4,primary
Genotype_HC Genotype_ x time120,-0.0468911931720654,0.109200075863911,0.670695959219625,,,Interaction,-0.260923341865331,0.1671409555212,HMDB0048749,"0 (-0.3, 0.2)",0.671,0.671,,TG 58:4,primary
Genotype_HC Genotype_ x time235,0.090146534914125,0.109200075863911,0.415594695384148,,,Interaction,-0.12388561377914,0.30417868360739,HMDB0048749,"0.1 (-0.1, 0.3)",0.416,0.416,,TG 58:4,primary
Genotype_(joint),,,,0.481850269824172,0.503391840011546,Main,,,HMDB0048749,"NA (NA, NA)",,,0.503,TG 58:4,primary
Genotype_ x time(joint),,,,0.813566984941699,0.452815461471545,Interaction,,,HMDB0048749,"NA (NA, NA)",,,0.453,TG 58:4,primary
Genotype_HC Genotype_,-0.0866081089894549,0.316731070330683,0.790562060569814,,,Main,-0.707401006837593,0.534184788858683,HMDB0042645,"-0.1 (-0.7, 0.5)",0.791,0.791,,TG 58:5,bmi
Genotype_HC Genotype_ x time120,0.0400487503463027,0.0551307328251534,0.473203992002015,,,Interaction,-0.068007485990998,0.148104986683603,HMDB0042645,"0 (-0.1, 0.1)",0.473,0.473,,TG 58:5,bmi
Genotype_HC Genotype_ x time235,0.109996811513321,0.0551307328251534,0.0551732763064923,,,Interaction,0.00194057517602025,0.218053047850622,HMDB0042645,"0.1 (0, 0.2)",0.055,0.055,,TG 58:5,bmi
Genotype_(joint),,,,0.0134840780837868,0.910106449085296,Main,,,HMDB0042645,"NA (NA, NA)",,,0.91,TG 58:5,bmi
Genotype_ x time(joint),,,,2.03943171560759,0.147755034963224,Interaction,,,HMDB0042645,"NA (NA, NA)",,,0.148,TG 58:5,bmi
Genotype_HC Genotype_,-0.0874811064029104,0.301550003254248,0.777533682697199,,,Main,-0.678519112781237,0.503556899975416,HMDB0042645,"-0.1 (-0.7, 0.5)",0.778,0.778,,TG 58:5,primary
Genotype_HC Genotype_ x time120,0.0400487503462832,0.0551307323693304,0.473203988325914,,,Interaction,-0.0680074850976043,0.148104985790171,HMDB0042645,"0 (-0.1, 0.1)",0.473,0.473,,TG 58:5,primary
Genotype_HC Genotype_ x time235,0.109996811513306,0.0551307323693304,0.0551732743321704,,,Interaction,0.00194057606941891,0.218053046957194,HMDB0042645,"0.1 (0, 0.2)",0.055,0.055,,TG 58:5,primary
Genotype_(joint),,,,0.0156106187267639,0.903045110362772,Main,,,HMDB0042645,"NA (NA, NA)",,,0.903,TG 58:5,primary
Genotype_ x time(joint),,,,2.03943174933135,0.147755030423959,Interaction,,,HMDB0042645,"NA (NA, NA)",,,0.148,TG 58:5,primary
Genotype_HC Genotype_,-0.0173738809587642,0.277921113024993,0.951480987988617,,,Main,-0.56209926248775,0.527351500570222,HMDB0005458,"0 (-0.6, 0.5)",0.951,0.951,,TG 58:6,bmi
Genotype_HC Genotype_ x time120,-0.0193208071001536,0.0583532121887749,0.742869878660353,,,Interaction,-0.133693102990152,0.0950514887898453,HMDB0005458,"0 (-0.1, 0.1)",0.743,0.743,,TG 58:6,bmi
Genotype_HC Genotype_ x time235,-0.0461898405190819,0.0583532121887749,0.434833765352441,,,Interaction,-0.160562136409081,0.068182455370917,HMDB0005458,"0 (-0.2, 0.1)",0.435,0.435,,TG 58:6,bmi
Genotype_(joint),,,,0.0202021092960971,0.89010500393189,Main,,,HMDB0005458,"NA (NA, NA)",,,0.89,TG 58:6,bmi
Genotype_ x time(joint),,,,0.316069268864128,0.73140690884302,Interaction,,,HMDB0005458,"NA (NA, NA)",,,0.731,TG 58:6,bmi
Genotype_HC Genotype_,-0.0183473428594995,0.265164751695685,0.946157751812507,,,Main,-0.538070256183042,0.501375570464043,HMDB0005458,"0 (-0.5, 0.5)",0.946,0.946,,TG 58:6,primary
Genotype_HC Genotype_ x time120,-0.0193208071001653,0.0583532121864777,0.74286987865033,,,Interaction,-0.133693102985662,0.095051488785331,HMDB0005458,"0 (-0.1, 0.1)",0.743,0.743,,TG 58:6,primary
Genotype_HC Genotype_ x time235,-0.0461898405191028,0.0583532121864777,0.434833765334238,,,Interaction,-0.160562136404599,0.0681824553663935,HMDB0005458,"0 (-0.2, 0.1)",0.435,0.435,,TG 58:6,primary
Genotype_(joint),,,,0.0233425052729322,0.881608576213708,Main,,,HMDB0005458,"NA (NA, NA)",,,0.882,TG 58:6,primary
Genotype_ x time(joint),,,,0.316069268889295,0.731406908824905,Interaction,,,HMDB0005458,"NA (NA, NA)",,,0.731,TG 58:6,primary
Genotype_HC Genotype_,0.14987486596971,0.581522703190512,0.802242072699233,,,Main,-0.989909632283694,1.28965936422311,HMDB0005471,"0.1 (-1, 1.3)",0.802,0.802,,TG 58:7_A,bmi
Genotype_HC Genotype_ x time120,0.0299141549510501,0.123970030398079,0.810963125851808,,,Interaction,-0.213067104629184,0.272895414531284,HMDB0005471,"0 (-0.2, 0.3)",0.811,0.811,,TG 58:7_A,bmi
Genotype_HC Genotype_ x time235,-0.055147610477431,0.123970030398079,0.659623907735697,,,Interaction,-0.298128870057665,0.187833649102803,HMDB0005471,"-0.1 (-0.3, 0.2)",0.66,0.66,,TG 58:7_A,bmi
Genotype_(joint),,,,0.0600877800052798,0.811855165430075,Main,,,HMDB0005471,"NA (NA, NA)",,,0.812,TG 58:7_A,bmi
Genotype_ x time(joint),,,,0.242304492911049,0.786338224759393,Interaction,,,HMDB0005471,"NA (NA, NA)",,,0.786,TG 58:7_A,bmi
Genotype_HC Genotype_,0.148844410814938,0.552809534936712,0.793031930784928,,,Main,-0.934662277661019,1.23235109929089,HMDB0005471,"0.1 (-0.9, 1.2)",0.793,0.793,,TG 58:7_A,primary
Genotype_HC Genotype_ x time120,0.0299141549511283,0.12397004020977,0.810963140646957,,,Interaction,-0.213067123860021,0.272895433762278,HMDB0005471,"0 (-0.2, 0.3)",0.811,0.811,,TG 58:7_A,primary
Genotype_HC Genotype_ x time235,-0.0551476104773576,0.12397004020977,0.65962393315116,,,Interaction,-0.298128889288507,0.187833668333792,HMDB0005471,"-0.1 (-0.3, 0.2)",0.66,0.66,,TG 58:7_A,primary
Genotype_(joint),,,,0.0656342990484108,0.802995849072258,Main,,,HMDB0005471,"NA (NA, NA)",,,0.803,TG 58:7_A,primary
Genotype_ x time(joint),,,,0.242304454556293,0.786338254560964,Interaction,,,HMDB0005471,"NA (NA, NA)",,,0.786,TG 58:7_A,primary
Genotype_HC Genotype_,0.0084791482396505,0.326526517255022,0.97983921814583,,,Main,-0.631512825580193,0.648471122059494,HMDB0005413,"0 (-0.6, 0.6)",0.98,0.98,,TG 58:8_A,bmi
Genotype_HC Genotype_ x time120,-0.00358942928670297,0.0551832792486134,0.948569214191712,,,Interaction,-0.111748656613985,0.104569798040579,HMDB0005413,"0 (-0.1, 0.1)",0.949,0.949,,TG 58:8_A,bmi
Genotype_HC Genotype_ x time235,-0.0127031579046484,0.0551832792486134,0.819499339684324,,,Interaction,-0.120862385231931,0.0954560694226337,HMDB0005413,"0 (-0.1, 0.1)",0.819,0.819,,TG 58:8_A,bmi
Genotype_(joint),,,,8.79891457188943e-05,0.99272038742326,Main,,,HMDB0005413,"NA (NA, NA)",,,0.993,TG 58:8_A,bmi
Genotype_ x time(joint),,,,0.028166158061679,0.972252488226603,Interaction,,,HMDB0005413,"NA (NA, NA)",,,0.972,TG 58:8_A,bmi
Genotype_HC Genotype_,0.00603430611263297,0.316877814625729,0.985173991315684,,,Main,-0.615046210553796,0.627114822779062,HMDB0005413,"0 (-0.6, 0.6)",0.985,0.985,,TG 58:8_A,primary
Genotype_HC Genotype_ x time120,-0.00358942928667905,0.0551832765906724,0.948569211697141,,,Interaction,-0.111748651404397,0.104569792831039,HMDB0005413,"0 (-0.1, 0.1)",0.949,0.949,,TG 58:8_A,primary
Genotype_HC Genotype_ x time235,-0.0127031579046243,0.0551832765906724,0.819499331071096,,,Interaction,-0.120862380022342,0.0954560642130936,HMDB0005413,"0 (-0.1, 0.1)",0.819,0.819,,TG 58:8_A,primary
Genotype_(joint),,,,3.6635598758599e-06,0.998510460809803,Main,,,HMDB0005413,"NA (NA, NA)",,,0.999,TG 58:8_A,primary
Genotype_ x time(joint),,,,0.0281661607748779,0.972252485592361,Interaction,,,HMDB0005413,"NA (NA, NA)",,,0.972,TG 58:8_A,primary
Genotype_HC Genotype_,0.0472855571941297,0.346714589926573,0.894461240982048,,,Main,-0.632275039061953,0.726846153450212,HMDB0005463,"0 (-0.6, 0.7)",0.894,0.894,,TG 58:9,bmi
Genotype_HC Genotype_ x time120,-0.00545882749030549,0.0608597116596567,0.929125545961168,,,Interaction,-0.124743862343233,0.113826207362622,HMDB0005463,"0 (-0.1, 0.1)",0.929,0.929,,TG 58:9,bmi
Genotype_HC Genotype_ x time235,-0.0274772548270387,0.0608597116596567,0.654887013376797,,,Interaction,-0.146762289679966,0.0918077800258883,HMDB0005463,"0 (-0.1, 0.1)",0.655,0.655,,TG 58:9,bmi
Genotype_(joint),,,,0.0110794132020186,0.918479061548537,Main,,,HMDB0005463,"NA (NA, NA)",,,0.918,TG 58:9,bmi
Genotype_ x time(joint),,,,0.114258657915538,0.892413501428149,Interaction,,,HMDB0005463,"NA (NA, NA)",,,0.892,TG 58:9,bmi
Genotype_HC Genotype_,0.0425462876293646,0.353132557017271,0.906441113035619,,,Main,-0.649593524124486,0.734686099383215,HMDB0005463,"0 (-0.6, 0.7)",0.906,0.906,,TG 58:9,primary
Genotype_HC Genotype_ x time120,-0.00545882749030842,0.0608597115624036,0.929125545847779,,,Interaction,-0.124743862152619,0.113826207172003,HMDB0005463,"0 (-0.1, 0.1)",0.929,0.929,,TG 58:9,primary
Genotype_HC Genotype_ x time235,-0.0274772548270351,0.0608597115624036,0.654887012860676,,,Interaction,-0.146762289489346,0.0918077798352758,HMDB0005463,"0 (-0.1, 0.1)",0.655,0.655,,TG 58:9,primary
Genotype_(joint),,,,0.00807102478777459,0.930189163915499,Main,,,HMDB0005463,"NA (NA, NA)",,,0.93,TG 58:9,primary
Genotype_ x time(joint),,,,0.114258658280665,0.892413501104487,Interaction,,,HMDB0005463,"NA (NA, NA)",,,0.892,TG 58:9,primary
